Id,Make,Model,Variant,Emission_Norm,Fuel_Tank_Capacity,Fuel_Type,Body_Type,Gears,Type
0,C,Nano Genx,Xt,BS IV,24 litres,Petrol,Hatchback,4,Manual
1,Tata,Nano Genx,Xe,BS IV,24 litres,Petrol,Hatchback,4,Manual
2,Tata,Nano Genx,Emax Xm,BS IV,15 litres,CNG,Hatchback,4,Manual
3,Tata,Nano Genx,Xta,BS IV,24 litres,Petrol,Hatchback,5,Automatic
4,Tata,Nano Genx,Xm,BS IV,24 litres,Petrol,Hatchback,4,Manual
5,Tata,Nano Genx,Xma,BS IV,24 litres,Petrol,Hatchback,5,Automatic
6,Datsun,Redi-Go,D,BS IV,28 litres,Petrol,Hatchback,5,Manual
7,Datsun,Redi-Go,T,BS IV,28 litres,Petrol,Hatchback,5,Manual
8,Datsun,Redi-Go,A,BS IV,28 litres,Petrol,Hatchback,5,Manual
9,Datsun,Redi-Go,S,BS IV,28 litres,Petrol,Hatchback,5,Manual
10,Datsun,Redi-Go,1.0 S,BS IV,28 litres,Petrol,Hatchback,5,Manual
11,Datsun,Redi-Go,1.0 S Amt,BS IV,28 litres,Petrol,Hatchback,5,Automatic
12,Renault,Kwid,Rxe 0.8,BS 6,28 litres,Petrol,Hatchback,6,Manual
13,Renault,Kwid,Std 0.8,BS 6,28 litres,Petrol,Hatchback,5,Manual
14,Renault,Kwid,Rxl 0.8,BS 6,28 litres,Petrol,Hatchback,5,Manual
15,Renault,Kwid,Rxt 0.8,BS 6,28 litres,Petrol,Hatchback,5,Manual
16,Renault,Kwid,Rxt 1.0,BS 6,28 litres,Petrol,Hatchback,5,Manual
17,Renault,Kwid,Climber 1.0 Mt,BS 6,28 litres,Petrol,Hatchback,5,Manual
20,Renault,Kwid,Rxt (O) 1.0,BS 6,28 litres,Petrol,Hatchback,5,Manual
21,Renault,Kwid,Rxt (O) Amt 1.0,BS 6,28 litres,Petrol,Hatchback,5,Automatic
22,Renault,Kwid,Climber (O) Mt 1.0,BS 6,28 litres,Petrol,Hatchback,5,Manual
24,Maruti Suzuki,Eeco,5 Str,BS 6,40 litres,Petrol,MPV,5,Manual
25,Maruti Suzuki,Eeco,7 Str,BS 6,40 litres,Petrol,MPV,5,Manual
26,Maruti Suzuki,Eeco,5 Str With Ac+Htr,BS 6,40 litres,Petrol,MPV,5,Manual
27,Maruti Suzuki,Eeco,5 Str With Ac+Htr Cng,BS 6,40 litres,CNG,MPV,5,Manual
28,Maruti Suzuki,Eeco,5 Str With Htr Cng,BS 6,40 litres,CNG,MPV,5,Manual
29,Maruti Suzuki,Alto K10,Lxi,BS IV,35 litres,Petrol,Hatchback,5,Manual
30,Maruti Suzuki,Alto K10,Vxi,BS IV,35 litres,Petrol,Hatchback,5,Manual
31,Maruti Suzuki,Alto K10,Lx,BS IV,35 litres,Petrol,Hatchback,5,Manual
32,Maruti Suzuki,Alto K10,Vxi (O),BS IV,35 litres,Petrol,Hatchback,5,Manual
